transaction_date,transaction_time,customer_id,quantity,line_item_amount,unit_price,product_group,product_category,product_type,current_wholesale_price,customer_since,customer_birth_year,customer_generation
4/1/2019,12:04:43,558,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/19/2018,1983,Older Millennials
4/1/2019,11:15:38,22,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/3/2017,1953,Baby Boomers
4/1/2019,12:05:31,659,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/14/2019,1996,Gen Z
4/1/2019,16:49:38,407,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/11/2017,1963,Baby Boomers
4/1/2019,19:17:34,537,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/6/2018,1980,Older Millennials
4/1/2019,17:58:05,385,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/26/2017,1961,Baby Boomers
4/1/2019,11:14:07,456,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/20/2017,1970,Gen X
4/1/2019,11:40:26,7,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,1/21/2017,1951,Baby Boomers
4/1/2019,15:36:03,441,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/20/2017,1968,Gen X
4/1/2019,11:14:45,212,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/9/2018,1986,Older Millennials
4/1/2019,11:59:48,391,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/9/2017,1961,Baby Boomers
4/1/2019,14:34:35,447,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/1/2017,1968,Gen X
4/1/2019,11:35:18,111,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/3/2017,1969,Gen X
4/1/2019,18:32:25,697,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/2/2019,2000,Gen Z
4/1/2019,12:44:32,387,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/30/2017,1961,Baby Boomers
4/1/2019,18:02:00,676,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/18/2019,1998,Gen Z
4/1/2019,15:44:17,531,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/24/2018,1979,Gen X
4/1/2019,15:12:54,574,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/22/2018,1985,Older Millennials
4/1/2019,12:08:36,774,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/5/2018,1988,Older Millennials
4/1/2019,13:27:32,5287,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/7/2018,1992,Younger Millennials
4/1/2019,18:19:45,5821,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/25/2017,1981,Older Millennials
4/1/2019,18:27:17,5595,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/4/2018,1990,Younger Millennials
4/1/2019,15:16:23,5018,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/7/2017,1952,Baby Boomers
4/1/2019,11:56:07,5705,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/26/2018,1997,Gen Z
4/1/2019,13:42:58,5243,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/13/2017,1983,Older Millennials
4/1/2019,13:06:20,5703,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/10/2019,1997,Gen Z
4/1/2019,17:09:03,5921,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/24/2018,1997,Gen Z
4/1/2019,11:57:28,5876,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/31/2017,1968,Gen X
4/1/2019,17:43:49,8410,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/23/2018,1962,Baby Boomers
4/1/2019,15:57:56,8298,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/6/2018,1978,Gen X
4/1/2019,10:46:20,8399,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/21/2018,1960,Baby Boomers
4/1/2019,9:31:05,8322,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/21/2019,1969,Gen X
4/1/2019,17:06:02,8358,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/24/2018,1994,Younger Millennials
4/1/2019,10:43:07,8242,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/8/2018,1988,Older Millennials
4/2/2019,11:24:50,787,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/22/2018,1994,Younger Millennials
4/2/2019,19:57:23,554,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/11/2018,1982,Older Millennials
4/2/2019,15:17:08,777,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,9/30/2018,1989,Older Millennials
4/2/2019,12:55:19,315,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/2/2017,1952,Baby Boomers
4/2/2019,18:53:56,106,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/21/2017,1968,Gen X
4/2/2019,15:30:40,525,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/12/2018,1978,Gen X
4/2/2019,13:45:24,613,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/11/2018,1990,Younger Millennials
4/2/2019,13:11:09,458,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/24/2017,1970,Gen X
4/2/2019,17:51:00,456,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/20/2017,1970,Gen X
4/2/2019,13:58:22,687,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/13/2019,1999,Gen Z
4/2/2019,17:48:48,728,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/21/2017,1964,Baby Boomers
4/2/2019,16:11:03,288,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/6/2019,1999,Gen Z
4/2/2019,16:32:14,687,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/13/2019,1999,Gen Z
4/2/2019,11:18:25,516,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/24/2018,1977,Gen X
4/2/2019,15:12:44,259,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/16/2018,1994,Younger Millennials
4/2/2019,18:02:37,5458,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,5/31/2017,1959,Baby Boomers
4/2/2019,8:05:31,5764,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,8/5/2018,1986,Older Millennials
4/2/2019,12:42:19,5577,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,6/22/2017,1984,Older Millennials
4/2/2019,14:44:28,5677,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/23/2018,1990,Younger Millennials
4/2/2019,12:54:53,5628,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,12/19/2017,1971,Gen X
4/2/2019,18:18:13,5649,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,11/3/2017,1969,Gen X
4/2/2019,12:15:19,5313,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/8/2017,1961,Baby Boomers
4/2/2019,7:18:11,5847,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,7/30/2018,1985,Older Millennials
4/2/2019,16:05:18,5131,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,4/16/2017,1956,Baby Boomers
4/2/2019,16:37:26,5944,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/25/2018,1991,Younger Millennials
4/2/2019,14:54:46,5876,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,10/31/2017,1968,Gen X
4/2/2019,14:49:34,5415,2,5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2/1/2019,1997,Gen Z
4/2/2019,13:07:54,8377,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,3/29/2017,1997,Gen Z
